Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
478;TSC Product Visibility Project;Technical Steering Committee;;None;John Quinn, Lynn Laakso;Archived;;03/08/2009;- Other -;2012 May WGM/Ballot;;;http://wiki.hl7.org/index.php?title=Product_List;;- Non Product Project -;23/03/2009 08:00
483;Health Informatics: Common Terminology Services Release 1 (ISO Ballot Project);Vocabulary Work Group;;Infrastructure;"Christopher Chute; Harold Solbrig";Archived;30/03/2009;30/03/2009;ISO JIC Ballot Project;- Select One -;- OTHER -;;;;V3 Foundation-Vocab Domains & Value Sets;30/03/2009 08:00
480;HL7 EHR System Functional Model Release 1 (ISO Ballot Project);Electronic Health Records Work Group;;Administrative;Don Mon;Archived;30/03/2009;30/03/2009;ISO JIC Ballot Project;2012 Sept WGM/Ballot;;;;;Electronic Health Record;30/03/2009 08:00
479;Health Informatics: Clinical Genomics Pedigree Topic (ISO Ballot Project);Clinical Genomics Work Group;;Clinical;"Ed Hammond; Jill Kaufman; Amnon Shabo";Archived;30/03/2009;30/03/2009;ISO JIC Ballot Project;2012 Jan WGM/Ballot;;;;;- New Product Definition -;30/03/2009 08:00
484;Health informatics - Harmonized data types for information interchange (ISO Ballot Project);Implementable Technology Specifications Work Group;;Infrastructure;Grahame Grieve;Archived;30/03/2009;30/03/2009;ISO JIC Ballot Project;2014 Sept WGM/Ballot;;;"http://wiki.hl7.org/index.php?title=ISO_Datatypes, 
http://wiki.hl7.org/index.php?title=New_ITS_project";;- New Product Definition -;30/03/2009 08:00
482;Health Informatics: Clinical Document Architecture R2 (ISO Ballot Project);Structured Documents Work Group;;Administrative;"Ed Hammond; Woody Beeler";Archived;30/03/2009;30/03/2009;ISO JIC Ballot Project;- Select One -;;;;;V3 Documents-Clinical (e.g. CDA);30/03/2009 08:00
481;Health Informatics: HL7 Messaging Standard Version 2.5 'An Application Protocol for Electronic Data Exchange in Healthcare Environments' (ISO Ballot Project);Publishing Work Group;;Organizational Support;Ed Hammond;Archived;30/03/2009;30/03/2009;ISO JIC Ballot Project;- Select One -;;;;;"V2 Messages-Clinical; V2 Messages-Departmental";30/03/2009 08:00
401;Ambassador Program presentations (Roadmap Pjt #31);Strategic Initiative Committee;;None;Marketing Director, Marketing Council ,Educ. WG, (Roadmap Leader: CEO);Archived;;;;2009 May WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/04/2009 08:00
509;Diabetes Data Strategy;Electronic Health Records Work Group;Clinical Interoperability Council Work Group, Patient Care Work Group, Biomedical Research and Regulation Work Group;Administrative;Don Mon;Archived;12/06/2009;22/06/2009;- Other -;2010 May WGM/Ballot;;;http://wiki.hl7.org/index.php?title=EHR_Diabetes_Data_Strategy;;Electronic Health Record;01/04/2009 08:00
395;Criteria for prioritizing new projects (Roadmap Pjt #23);Strategic Initiative Committee;;None;TSC, Lynn Laakso, (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/04/2009 08:00
412;HL7 Standards and IG Inventory Report (Roadmap Pjt #46);Strategic Initiative Committee;;Infrastructure;Implementation/Conformance WG, (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;;;"http://wiki.hl7.org/index.php?title=OHT_-_HL7_UML_Modeling_Tools
https://mdht.projects.openhealthtools.org/cda 
http://wiki.hl7.org/index.php?title=Structured_Document_Template_Design_Pilot";;- Non Product Project -;01/04/2009 08:00
393;Internationalization of HL7(Roadmap Pjt #21);Strategic Initiative Committee;;None;Board Chair, International Council Chair, (Roadmap Leader: Chair);Archived;;;;2010 Sept WGM/Ballot;;;no URL;;- Non Product Project -;01/04/2009 08:00
392;Create a Revenue Development Task Force (and Secure Funding for Roadmap Projects) (Roadmap Pjt #20);Strategic Initiative Committee;;None;Virginia Riehl, (Roadmap Leader: CEO);Archived;;;;2010 Jan WGM/Ballot;;;no URL;;- Non Product Project -;01/04/2009 08:00
426;Determine the set of internal HL7 vocabularies that are subsumed by an existing external standard vocabulary (Roadmap Pjt #63);Strategic Initiative Committee;;None;CTO, commissioned work, (Roadmap Leader: CTO);Archived;;;;- Select One -;;;;;- Non Product Project -;01/04/2009 08:00
438;The HL7 website maintains a list of the certified individuals by country and by specification (Roadmap Pjt #03);Strategic Initiative Committee;;Organizational Support;Staff, (Roadmap Leader: CEO);Archived;;;;2011 Jan WGM/Ballot;;;;;- Non Product Project -;01/04/2009 08:00
428;Establish relationship with groups creating ontologies for health care (Roadmap Pjt #65);Strategic Initiative Committee;;None;Task Force, (Roadmap Leader: CEO);Archived;;;;- Select One -;;;on hold - no URL;;- Non Product Project -;01/04/2009 08:00
400;Provide recommendations for funding and governance of an enhanced role for Marketing (Roadmap Pjt #30);Strategic Initiative Committee;;None;Marketing Director, (Roadmap Leader: CEO);Archived;;;;2009 Sept WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/04/2009 08:00
425;Establish criteria for relationship building with targeted controlled vocabulary organizations (Roadmap Pjt #62);Strategic Initiative Committee;;None;Org. Relations Committee, CTO, task force, (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;;;no URL;;- Non Product Project -;01/04/2009 08:00
427;Incorporate terminologies into the HL7 RIM and appropriate standards (Roadmap Pjt #64);Strategic Initiative Committee;;None;CTO, (Roadmap Leader: CTO);Archived;;;;- Select One -;;;;;- Non Product Project -;01/04/2009 08:00
378;Evaluate the potential for certification (Roadmap Pjt #02);Strategic Initiative Committee;;None;CEO, (Roadmap Leader: CEO);Archived;;;- Other -;- Select One -;;;;;- Non Product Project -;01/04/2009 08:00
403;Document an overview of the organizational structure, process, and history of HL7 (Roadmap Pjt #33);Strategic Initiative Committee;;None;CEO, commissioned work, (Roadmap Leader: CEO);Archived;;;;2010 Jan WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/04/2009 08:00
397;Task force to evaluate Operations Management schema in other standards development organizations (Roadmap Pjt #27);Strategic Initiative Committee;;None;CEO, (Roadmap Leader: CEO);Archived;;;;2009 Sept WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/04/2009 08:00
442;Deliver a first balloted reference architecture document (Roadmap Project #47);Strategic Initiative Committee;;Organizational Support;TSC, Marc Koehn, Lynn Laakso (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;;;"http://wiki.hl7.org/index.php?title=SAIF_main_page 
http://gforge.hl7.org/gf/project/saeaf/scmsvn/";;- Non Product Project -;01/04/2009 08:00
487;CDA Modeling with UML;Structured Documents Work Group;;Administrative;Rich Rogers;Archived;02/04/2009;13/04/2009;;2014 Jan WGM/Ballot;;;"http://wiki.hl7.org/index.php?title=Structured_Document_Template_Design_Pilot; 
http://wiki.hl7.org/index.php?title=OHT_-_HL7_UML_Modeling_Tools; 
https://mdht.projects.openhealthtools.org/cda/doc/; 
 https://staticmodeldesigner.projects.openhealthtools.org/";;- Non Product Project -;02/04/2009 08:00
475;Updating the V3 Repository to apply vocabulary changes from April 2009 harmonization;Board of Directors Work Group;;None;Ted Klein and Russ Hamm;Archived;01/01/2009;01/01/2009;Vendor Contract;2018 Jan WGM/Ballot;- OTHER -;;;;V3 Foundation-Vocab Domains & Value Sets;16/04/2009 08:00
488;CME Pilot Project;Board of Directors Work Group;;None;"Karen Van Hentenryck; Mary Ann Boyle";Archived;01/01/2009;01/01/2009;- Other -;2010 May WGM/Ballot;;;;;- Non Product Project -;30/04/2009 08:00
499;Review ISO Principles and Guidelines of Terminology Maintenance;Vocabulary Work Group;No Selection;Infrastructure;Beverly Knight;Archived;19/04/2011;06/06/2011;Ballot - Informative;2012 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;http://wiki.hl7.org/index.php?title=Vocabulary;;V3 Foundation-Vocab Domains & Value Sets;11/05/2009 08:00
495;International SDO Glossary (was Health Informatics Harmonised Glossary) (originally a JIC project);Vocabulary Work Group;Patient Care Work Group, Publishing Work Group;Infrastructure;Heather Grain;Archived;19/10/2010;01/11/2010;- Other -;2014 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;11/05/2009 08:00
503;IDMP- Data elements and structures to uniquely identify and describe substances and specified substances. (JIC Project);Pharmacy Work Group;;Clinical;Garry Cruickshank;Archived;12/05/2009;12/05/2009;ISO JIC Ballot Project;2018 Jan WGM/Ballot;- OTHER -;;;;V3 Foundation-Vocab Domains & Value Sets;12/05/2009 08:00
505;IDMP-Data elements and structures to uniquely identify Units of Measurement. (JIC Project);Pharmacy Work Group;;Clinical;Garry Cruickshank, Christoff Gessner;Archived;12/05/2009;12/05/2009;ISO JIC Ballot Project;2018 Jan WGM/Ballot;- OTHER -;;;;V3 Foundation-Vocab Domains & Value Sets;12/05/2009 08:00
504;IDMP-Data elements and structures to uniquely identify pharmaceutical dose forms, units of presentation and routes of administration. (JIC Project);Pharmacy Work Group;;Clinical;Garry Cruickshank,;Archived;12/05/2009;12/05/2009;ISO JIC Ballot Project;2018 Jan WGM/Ballot;- OTHER -;;;;V3 Foundation-Vocab Domains & Value Sets;12/05/2009 08:00
506;IDMP-Data elements and structures to uniquely identify medicinal products (MPIDs) for the exchange of regulated medicinal product information   (JIC Project);Pharmacy Work Group;;Clinical;Tim Buxton, Garry Cruickshank;Archived;12/05/2009;12/05/2009;ISO JIC Ballot Project;2018 Jan WGM/Ballot;- OTHER -;;;;V3 Foundation-Vocab Domains & Value Sets;12/05/2009 08:00
500;Guide for Best Practices for Implementation of Vocabulary;Vocabulary Work Group;;Infrastructure;"Beverly Knight; Heather Grain; Stan Huff,";Archived;;;Ballot - Informative;2012 Jan WGM/Ballot;- OTHER -, Create New Standard;;;;V3 Foundation-Vocab Domains & Value Sets;18/05/2009 08:00
507;Context Aware Information Retrieval (Infobutton) SOA IG.;Clinical Decision Support Work Group;;Administrative;Guilherme Del Fiol, MD, PhD;Archived;15/06/2009;22/06/2009;Ballot - STU to Normative;2014 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard, IG;;http://www.hl7.org/Special/committees/dss/index.cfm;;;18/05/2009 08:00
489;Patient Encounters;Patient Administration Work Group;;Administrative;Gregg Seppala;Archived;12/06/2009;22/06/2009;Ballot - STU;2012 Sept WGM/Ballot;Revise Current Standard;;;;V3 Messages-Administrative;18/05/2009 08:00
490;Registry Enhancements for Social Services;Patient Administration Work Group;;Administrative;Gregg Seppala ;Archived;12/06/2009;22/06/2009;Ballot - Comment;2010 May WGM/Ballot;Supplement to a Current Standard;;;;V2 Messages-Administrative;18/05/2009 08:00
492;Healthcare, Community Services & Provider Directory;Services Oriented Architecture Work Group;;Infrastructure;Max Walker;Archived;;;Ballot - Normative (no STU);2010 May WGM/Ballot;;;;;V3 Documents-Knowledge;18/05/2009 08:00
491;Real Time Location Tracking;Patient Administration Work Group;;Administrative;Gregg Seppala;Archived;12/06/2009;22/06/2009;Ballot - Normative (no STU);2011 Sept WGM/Ballot;Revise Current Standard;;;;V3 Messages-Administrative;18/05/2009 08:00
497;Harmonize the V2 & V3 vocabulary;Vocabulary Work Group;;Infrastructure;Dave Shaver;Archived;;;Ballot - Informative;2011 Jan WGM/Ballot;;;;;- Non Product Project -;18/05/2009 08:00
496;Develop and publish best practices for vocabulary within Conformance profiles;Vocabulary Work Group;Conformance Work Group;Infrastructure;Beverly Knight, Frank Oemig;Archived;19/04/2011;06/06/2011;Ballot - Informative;2012 Jan WGM/Ballot;- OTHER -;;http://wiki.hl7.org/index.php?title=Vocabulary;;V3 Foundation-Vocab Domains & Value Sets;18/05/2009 08:00
494;Public Health Reporting Domain Analysis Model (PORR DAM);Public Health Work Group;Public Health Work Group;Clinical;"Lise Stevens; Peter Goldschmidt";Archived;06/05/2009;01/06/2009;Ballot - Informative;2013 Jan WGM/Ballot;Create New Standard;;"<a href=""http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FPORR%2FDomain%2520Model%2F"">http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FPORR%2FDomain%2520Model%2F";;Domain Analysis Model (DAM);18/05/2009 08:00
510;Care Record Summary, Release 2: Discharge Summary;Structured Documents Work Group;;Administrative;Liora Alschuler;Archived;15/06/2009;22/06/2009;Ballot - STU;2012 Jan WGM/Ballot;Revise Current Standard;;http://wiki.hl7.org/index.php?title=Health_Story:_Discharge_Summary;;V3 Documents-Clinical (e.g. CDA);18/05/2009 08:00
498;Revisit Current Vocabulary Harmonization processes;Vocabulary Work Group;;Infrastructure;Ted Klein;Archived;;;Ballot - Informative;- Select One -;;;"http://wiki.hl7.org/index.php?title=Vocabulary_Harmonization_Tool; http://wiki.hl7.org/index.php?title=Vocabulary_and_RIM_Harmonization_Process";;- Non Product Project -;18/05/2009 08:00
501;IDMP Terminologies Project (JIC Project);Pharmacy Work Group;;Clinical;Hugh Glover;Archived;20/01/2014;03/02/2014;ISO JIC Ballot Project;2015 Jan WGM/Ballot;Supplement to a Current Standard;;;;V3 Foundation-Vocab Domains & Value Sets;21/05/2009 08:00
502;IDMP- Data elements and structures to uniquely identify and exchange pharmaceutical products (PhPIDs) (JIC Project);Pharmacy Work Group;;Clinical;Garry Cruickshank;Archived;12/05/2009;12/05/2009;ISO JIC Ballot Project;2018 Jan WGM/Ballot;- OTHER -;;;;V3 Foundation-Vocab Domains & Value Sets;01/06/2009 08:00
508;Health Quality Measure Format (HQMF) Specification, Normative Release 1;Clinical Quality Information Work Group;Clinical Decision Support Work Group, Public Health Work Group, Structured Documents Work Group;Administrative;Chris Millet;Archived;01/06/2016;07/06/2016;Ballot - STU;2018 Sept WGM/Ballot;Revise Current Standard;HQMF;"http://wiki.hl7.org/index.php?title=HQMF 

Updated 12.03.2013:
Other related project scope statements can be found here:
http://wiki.hl7.org/index.php?title=Clinical_Quality_Information_Work_Group";Don't Know;V3 Documents-Knowledge;04/06/2009 08:00
511;HL7 Project Review and Cleanup;Project Services Work Group;;Organizational Support;Dave Hamill;Archived;23/06/2009;06/07/2009;- Other -;2010 May WGM/Ballot;;;;;- Non Product Project -;15/06/2009 08:00
512;Emergency Medical Services Domain Analysis Model;Clinical Interoperability Council Work Group;;Clinical;Jay Lyle, Sarah Ryan, Mitra Rocca;Archived;15/06/2009;29/06/2009;Ballot - Informative;2013 Sept WGM/Ballot;;;http://wiki.hl7.org/index.php?title=EMS_DAM;;Domain Analysis Model (DAM);15/06/2009 08:00
513;IG for CDA Release 2 - Anesthetic Record;Anesthesia Work Group;Devices Work Group, Structured Documents Work Group;Clinical;Gunther Schadow;Archived;29/06/2009;06/07/2009;Ballot - Informative;2016 Sept WGM/Ballot;;;;;V3 Documents-Clinical (e.g. CDA);30/06/2009 08:00
418;Develop a catalog for ballot publishing of each HL7 product from ballot through final product (Roadmap Pjt #54);Strategic Initiative Committee;;None;CTO, (Roadmap Leader: CTO);Archived;;;;2011 Jan WGM/Ballot;;;;;- Non Product Project -;01/07/2009 08:00
443;Appoint a task force to develop next version of roadmap for HL7 (Roadmap Pjt #40);Strategic Initiative Committee;;None;Chair, (Roadmap Leader: Chair);Archived;;;;2010 Jan WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/07/2009 08:00
385;Define clinical content model for the PHR (Roadmap Pjt #12);Strategic Initiative Committee;;None;EHR WG, (Roadmap Leader: CTO);Archived;;;;- Select One -;;;on hold - no URL;;- Non Product Project -;01/07/2009 08:00
379;Engage consumers in the development of PHR system standards (Roadmap Pjt #07);Strategic Initiative Committee;;None;EHR WG, (Roadmap Leader: CEO);Archived;;;- Other -;- Select One -;;;;;- Non Product Project -;01/07/2009 08:00
394;Develop a set of expectations of affiliates' responsibilities to the HL7 organization (Roadmap Pjt #22);Strategic Initiative Committee;;None;International affiliate, (Roadmap Leader: Chair);Archived;;;;2009 Sept WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/07/2009 08:00
437;Educate clinicians and consumers on the benefits of EHR and PHR standards (Roadmap Pjt #05);Strategic Initiative Committee;;Clinical;CIC, (Roadmap Leader: CEO);Archived;;;;2009 Sept WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/07/2009 08:00
515;National Healthcare Safety Network eSurveillance HL7 2.5.1 IG Project;Public Health Work Group;;Clinical;Kreisler, Austin J.;Archived;21/08/2009;14/09/2009;Ballot - STU;2013 Sept WGM/Ballot;Supplement to a Current Standard, IG;;"<a href=""http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FImplementation%2520Guides%2FNHSN-eSurv-IG%2F"">http://gforge.hl7.org/gf/project/pher/scmsvn/?action=browse&amp;path=%2Ftrunk%2FImplementation%2520Guides%2FNHSN-eSurv-IG%2F";;V2 Messages-Clinical;03/08/2009 08:00
517;Terminology Change Management Requirements Analysis;Board of Directors Work Group;;None;Russ Hamm;Archived;07/08/2009;07/08/2009;Vendor Contract;2010 Jan WGM/Ballot;;;;;- Non Product Project -;06/08/2009 08:00
516;OID Registry Cleanup;Board of Directors Work Group;Tooling Work Group;Organizational Support;Ted Klein ;Archived;07/08/2009;07/08/2009;Vendor Contract;2011 May WGM/Ballot;;;;;- Non Product Project -;07/08/2009 08:00
520;E-LEARNING COURSE PROGRAM ADMINISTRATION;Education Work Group;;Organizational Support;"Diego Kaminker; Fernando Campos; Mark Shafarman; Gora Datta ";Archived;10/08/2009;24/08/2009;- Other -;2011 May WGM/Ballot;;;;;Education Services;10/08/2009 08:00
519;XML Processing Improvement;Board of Directors Work Group;;None;"Paul Biron; Andy Stechishin";Archived;07/08/2009;07/08/2009;- Other -;2010 Jan WGM/Ballot;;;;;- Non Product Project -;10/08/2009 08:00
518;2009 Vocabulary Content Algorithmic Cleanup;Board of Directors Work Group;;None;Ted Klein and Woody Beeler;Archived;07/08/2009;07/08/2009;Vendor Contract;2010 Jan WGM/Ballot;;;;;- Non Product Project -;10/08/2009 08:00
522;2009 SAEAF Technical Writing Contract;Architectural Review Work Group, Board of Directors Work Group;;None;"Karen Smith (contractor - Karen_at_smithspot.com); Karen Van Hentenryck (pm)";Archived;14/08/2009;14/08/2009;Vendor Contract;2010 Jan WGM/Ballot;;;;;- Non Product Project -;17/08/2009 08:00
521;Blood Center System to System Messaging;Orders and Observations Work Group;;Administrative;"Patti Larson; Jonathan Harber; Shankar Goudar";Archived;17/08/2009;24/08/2009;Ballot - Informative;2012 Jan WGM/Ballot;Revise Current Standard;;http://wiki.hl7.org/index.php?title=BTO_v2;;V2 Messages-Clinical;19/08/2009 08:00
514;Post August Harmonization 2009 Vocab cleanup;Board of Directors Work Group;;None;"Ted Klein; Russ Hamm ";Archived;01/01/2009;01/01/2009;Vendor Contract;- Select One -;- OTHER -;;;;- Non Product Project -;21/08/2009 08:00
524;HL7 Website Enhancments - Release 3.1;Publishing, Electronic Services and Tools Work Group;;Organizational Support;WG CoChairs;Archived;;;- Other -;2010 May WGM/Ballot;;;;;;07/09/2009 08:00
528;II coordination with Diagnostic Imaging Report SR/CDA Transformation Guide (DICOM Supplement 135);Imaging Integration Work Group;;Clinical;Helmut Koenig;Archived;;;Ballot - Informative;2011 May WGM/Ballot;;;;;V3 Documents-Clinical (e.g. CDA);10/09/2009 08:00
535;Respond to needs of the Working Group as requested by the TSC (ongoing);Project Services Work Group;;Organizational Support;Work Group CoChairs;Archived;;;- Other -;2023 Sept WGM/Ballot;;;;;- Non Product Project -;11/09/2009 08:00
532;Maintain Project Schedule Templates;Project Services Work Group;;Organizational Support;Dave Hamill, Freida Hall;Archived;;;- Other -;2011 May WGM/Ballot;;;;;- Non Product Project -;11/09/2009 08:00
539;Regulated Product Submission Release 3 (RPS R3);Biomedical Research and Regulation Work Group;;Clinical;Geoff Williams (EFPIA);Archived;22/04/2011;02/05/2011;Ballot - STU;2016 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard, IG;;"HL7 RPS Wiki: http://wiki.hl7.org/index.php?title=Regulated_Product_Submissions
Gforge: http://gforge.hl7.org/gf/project/rcrim/docman/ ";;V3 Documents-Administrative (e.g. SPL);11/09/2009 08:00
537;Complete Decision Tree;Project Services Work Group;;Organizational Support;Work Group CoChairs;Archived;;;- Other -;2012 Sept WGM/Ballot;- OTHER -;;;;- Non Product Project -;11/09/2009 08:00
536;Develop Project Dashboard / Project Health Metrics;Project Services Work Group;;Organizational Support;Dave Hamill, Freida Hall;Archived;;;- Other -;2011 Sept WGM/Ballot;;;;;- Non Product Project -;11/09/2009 08:00
531;Annual Updates to the Project Scope Statement Template and Project Approval Process;Project Services Work Group;;Organizational Support;Dave Hamill, Project Services Work Group Cochairs;Archived;;;- Other -;2020 Jan WGM/Ballot;;;;;- Non Product Project -;11/09/2009 08:00
533;Annual Maintainance of Project Life Cycle and GOM Updates;Project Services Work Group;;Organizational Support;Dave Hamill, Freida Hall;Archived;;;- Other -;2022 Sept WGM/Ballot;;;;;- Non Product Project -;11/09/2009 08:00
530;Monitor and Maintain Project Approval Process;Project Services Work Group;;Organizational Support;Dave Hamill, Freida Hall;Archived;10/05/2010;07/06/2010;- Other -;2010 Sept WGM/Ballot;;;http://gforge.hl7.org/gf/download/docmanfileversion/5871/7576/ProjectApprovalProcess_v2010_20100922_All_Processes.zip;;- Non Product Project -;11/09/2009 08:00
538;BRIDG (Biomedical Research Integrated Domain) Domain Analysis Model (DAM) (ISO/JIC Project);Biomedical Research and Regulation Work Group;;Clinical;"Julie Evans; Edward Tripp";Archived;11/09/2009;22/09/2009;ISO JIC Ballot Project;2014 Sept WGM/Ballot;;;http://wiki.hl7.org/index.php?title=BRIDG_as_DAM;;Domain Analysis Model (DAM);11/09/2009 08:00
534;Mentoring Project Facilitators;Project Services Work Group;;Organizational Support;Dave Hamill, Freida Hall;Archived;;;- Other -;2012 Sept WGM/Ballot;;;;;- Non Product Project -;11/09/2009 08:00
541;Clinical Research Filltered Query Service Funtion Model (CRFQ SFM);Biomedical Research and Regulation Work Group;;Clinical;Charlie Mead;Archived;28/06/2010;14/07/2010;Ballot - STU;2014 Jan WGM/Ballot;;;"https://wiki.nci.nih.gov/display/caEHR/caEHR+Project+Wiki+Home+Page;jsessionid=A94D527B085720B09FC031E4EB678BED; http://www.hl7.org/dstucomments/ex_showdetail.cfm?dstuid=21 
http://imi.europa.eu/index_en.html ";;V3 Services-Web Services (OMG);11/09/2009 08:00
474;CMET: A_DicomCompositeObjectReference minimal (COCT_RM830120UV05) R2;Imaging Integration Work Group;;Administrative;Helmut Koenig;Archived;11/03/2009;16/03/2009;Ballot - Normative (no STU);2013 Jan WGM/Ballot;Revise Current Standard;;;;;14/09/2009 08:00
544;ITS SAEAF Analysis;Implementable Technology Specifications Work Group;;Infrastructure;Paul Knapp;Archived;;;- Other -;2010 Sept WGM/Ballot;;;;;- Non Product Project -;16/09/2009 08:00
548;Strengthen HL7 Education;Education Work Group;;Organizational Support;Abdul-Malik Shakir, Mike Henderson, Mark Shafarman,;Archived;;;- Other -;2013 Jan WGM/Ballot;;;;;- Non Product Project -;17/09/2009 08:00
547;Collaborative Education;Education Work Group;;Organizational Support;Abdul-Malik Shakir;Archived;;;- Other -;2013 Jan WGM/Ballot;;;;;- Non Product Project -;17/09/2009 08:00
545;Education Curriculum Development (Ongoing effort);Education Work Group;;Organizational Support;Virginia Lorenzi;Archived;;;- Other -;2013 Jan WGM/Ballot;;;;;- Non Product Project -;17/09/2009 08:00
529;Security Domain Analysis Model (DAM);Security Work Group;Community-Based Care and Privacy (CBCP) Work Group;Infrastructure;Suzanne Gonzales-Webb;Archived;06/10/2009;26/10/2009;Ballot - Informative;2021 Jan WGM/Ballot;Revise Current Standard;;http://gforge.hl7.org/gf/project/security/docman/?subdir=137;;Domain Analysis Model (DAM);21/09/2009 08:00
549;Maintain and support existing RIMBAA reference implementations.;Application Implementation and Design Work Group;;Infrastructure;Peter Hendler;Archived;;;- Other -;- Select One -;;;;;- New Product Definition -;23/09/2009 08:00
550;Creation of a set of RIMBAA whitepapers;Application Implementation and Design Work Group;;Infrastructure;Rene Spronk;Archived;18/10/2010;08/11/2010;- Other -;2017 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"http://wiki.hl7.org/index.php?title=Creation_of_a_Set_of_RIMBAA_Whitepapers
http://wiki.hl7.org/index.php?title=Category:RIMBAA_Whitepaper";;- New Product Definition -;23/09/2009 08:00
553;Consent Directive CDA IG.;Community-Based Care and Privacy (CBCP) Work Group;;Clinical;Ioana Singureanu;Archived;21/10/2009;09/11/2009;Ballot - STU;2017 Jan WGM/Ballot;Create New Standard, IG;;;;V3 Documents-Administrative (e.g. SPL);25/09/2009 08:00
542;Anesthesiology Common Vocabulary, Release 1/Pre-Op DAM;Anesthesia Work Group;Child Health Work Group, Clinical Interoperability Council Work Group;Clinical;"Martin Hurrell; Pat Gunter";Archived;;;Ballot - Informative;2013 Jan WGM/Ballot;Create New Standard;;;;Domain Analysis Model (DAM);25/09/2009 08:00
554;Withdraw HL7 Version 3 Messaging Standard:  Notifiable Condition Release 1;Patient Safety Work Group;;Clinical;Lise Stevens;Archived;25/09/2009;05/10/2009;Ballot - Comment;2010 May WGM/Ballot;Withdraw Current Standard;;;;V3 Documents-Administrative (e.g. SPL);25/09/2009 08:00
565;Specimen Handling CMET;Clinical Genomics Work Group;;Clinical;Clinical Genomics WG Cochairs;Archived;;;;2014 Jan WGM/Ballot;;;;;;28/09/2009 08:00
555;Administration Event;Pharmacy Work Group;;Clinical;Pharmacy Cochairs;Archived;;;;2011 Jan WGM/Ballot;;;;;;28/09/2009 08:00
559;Electronic outlets;Education Work Group;;Organizational Support;Gora Datta, Education WG Cochairs;Archived;;;;2013 Jan WGM/Ballot;;;;;;28/09/2009 08:00
564;Connection with Decision Support;Clinical Genomics Work Group;;Clinical;Clinical Genomics WG Cochairs;Archived;;;;2014 Jan WGM/Ballot;;;;;;28/09/2009 08:00
567;IG for CDA Release 2 - Level 3, Neonatal Care Report;Structured Documents Work Group;Child Health Work Group;Infrastructure;"Liora Alschuler; Bob Dolin:";STU - Expired Test Period;21/09/2009;26/10/2009;Ballot - STU;2025 Sept WGM/Ballot;IG;;"http://wiki.hl7.org/index.php?title=Neonatal_Care_Report; http://www.hl7.org/dstucomments/";;V3 Documents-Clinical (e.g. CDA);01/10/2009 08:00
568;IG for CDA Release 2: Procedure Note;Structured Documents Work Group;;Infrastructure;"Liora Alschuler; Tom Carr";Archived;21/09/2009;26/10/2009;Ballot - STU;2020 Jan WGM/Ballot;Create New Standard, IG;;http://wiki.hl7.org/index.php?title=Health_Story:_Procedure_Note;;V3 Documents-Clinical (e.g. CDA);01/10/2009 08:00
569;IG for CDA Release 2, Unstructured Documents;Structured Documents Work Group;;Administrative;Liora Alschuler;Archived;29/10/2009;09/11/2009;Ballot - STU;2012 Sept WGM/Ballot;Create New Standard, IG;;http://wiki.hl7.org/index.php?title=Health_Story:_Unstructured_Documents;;V3 Documents-Clinical (e.g. CDA);01/10/2009 08:00
420;Validation Tools (Roadmap Pjt #56);Strategic Initiative Committee;;Organizational Support;Tooling committee, (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;;;no URL;;- Non Product Project -;01/10/2009 08:00
404;Document the various HL7 standards and their application to interoperability (Roadmap Pjt #34);Strategic Initiative Committee;;None;CEO, (Roadmap Leader: CEO);Archived;;;;2010 Jan WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/10/2009 08:00
486;HL7 user Tools;Strategic Initiative Committee;;Organizational Support;Tooling Committee (Roadmap Leader: CTO);Archived;;;;2010 Jan WGM/Ballot;;;no URL;;- Non Product Project -;01/10/2009 08:00
