Id;Label;Name;Sponsors;Co_sponsors;Steering Division;Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Aliases;Project Document Repository;External Vocabularies;Products;Start Date
816;816;HL7 Version 2.6 IG: Vital Records Birth and Fetal Death Reporting, Release 1, STU Release 2 - US Realm;Public Health Work Group;;Clinical;Michelle Williamson;STU - Test Period/Accepting Comments;15/01/2017;10/02/2017;Ballot - STU;2020 May WGM/Ballot;IG;Vital Records, Birth and Fetal Death Reporting ;"https://confluence.hl7.org/display/PHWG/Vital+Records

HL7 PHER Wiki under the PHER Vital Records Related Activities:
http://wiki.hl7.org/index.php?title=PHER_Vital_Records-Related_Activities, ";Yes;;15/12/2016 08:00
1153;1153;Anesthesia (intra-procedure) Domain Analysis Model (DAM), Release 1;Devices Work Group;Devices Work Group;Administrative;Martin Hurrell;Active Project (Resources assigned to pjt);18/02/2019;04/03/2019;Ballot - Informative;2021 May WGM/Ballot;Create New Standard;Anesthetic Record DAM, Intra-operative ;https://confluence.hl7.org/display/Ant/Intraprocedure+Domain+Analysis;Yes;Domain Analysis Model (DAM);02/01/2017 08:00
1317;1317;Care Team Domain Analysis Model;Learning Health Systems Work Group;Clinical Interoperability Council Work Group, Clinical Quality Information Work Group, Patient Care Work Group, Pharmacy Work Group, Public Health Work Group;Clinical;Russell Leftwich;Informative - Reconcile;02/03/2017;17/03/2017;Ballot - Informative;2021 May WGM/Ballot;Create New Standard;Learning Health System, LHS, Care Team, Care Team Roster, Care Coordination;Learning Health Systems WG wiki;Don't Know;Domain Analysis Model (DAM);02/02/2017 08:00
1316;1316;Integrated Information Models and Tools (IIM&T);Clinical Information Modeling Initiative Work Group;Clinical Decision Support Work Group, Clinical Interoperability Council Work Group, Clinical Quality Information Work Group, Community-Based Care and Privacy (CBCP) Work Group, Electronic Health Records Work Group, Healthcare Standards Integration, Services Oriented Architecture Work Group;Infrastructure;Steve Hufnagel, Nona Hall;Informative - Reconcile;07/03/2017;09/06/2017;Ballot - Informative;2020 Sept WGM/Ballot;Create New Standard;CLIM, SOLOR, FHIM, CIMI, DCM, CQF, KNART, eCQM, FHIR, NIEM, CDA, C-CDA, JSON, HL7, SIGG, MDHT, MDMI;"HL7 CIMI wiki
PSS: https://1drv.ms/w/s!AlkpZJej6nh_k9dYlvNWaZ3DLPKSYg";Yes;;02/02/2017 08:00
1570;1570;Data Elements for Emergency Department Systems Update and Revision (updated PSS on Confluence);Emergency Care Work Group;Patient Care Work Group;Clinical;James McClay;Active Project (Resources assigned to pjt);;;Ballot - Informative;2020 Sept WGM/Ballot;Revise Current Standard;Emergency Care, EDIS, DEEDS, ;"https://confluence.hl7.org/display/EC/Data+Elements+for+Emergency+Department+Systems+Update+and+Revision

https://confluence.hl7.org/display/EC/Emergency+Care";Yes;;13/03/2017 08:00
1323;1323;C-CDA R2.1 Volume 3 Update – Advance Directives Templates Clarifications;Structured Documents Work Group;No Selection;Infrastructure;Lisa Nelson;STU - Test Period/Accepting Comments;24/04/2017;24/07/2017;Ballot - STU to Normative;2025 Sept WGM/Ballot;Revise Current Standard, IG;C-CDA R2.1 Additional Volume 3 Templates - for Advance Directives Templates;SDWG Wiki;Yes;V3 Documents-Clinical (e.g. CDA);15/03/2017 08:00
1335;1335;LOINC - IVD Test Code (LIVD) Mapping;Orders and Observations Work Group;Devices Work Group, Vocabulary Work Group;Administrative;Ed Heierman / JD Nolen;STU - Request Publication;08/05/2017;15/06/2017;Ballot - STU to Normative;2023 May WGM/Ballot;Revise Current Standard, IG;LIVD;FHIR IG space;Yes;FHIR Profile;23/05/2017 08:00
1342;1342;Clinical Decision Support (CDS) for Immunizations FHIR IG;Public Health Work Group;Clinical Decision Support Work Group, Patient Care Work Group;Clinical;Nathan Bunker;STU - Test Period/Accepting Comments;03/11/2017;21/12/2017;Ballot - STU to Normative;2023 Jan WGM/Ballot;Create New Standard;CDS for Immunization, CDS for Immunization FHIR interface;"https://confluence.hl7.org/display/PHWG/Immunization

URL where requirements will be documented: 
FHIR's SVN repository
FHIR gForge or Replacement Tracking Tools";Yes;;13/06/2017 08:00
1341;1341;SMART Application Launch Framework;FHIR Infrastructure Work Group;Security Work Group;Infrastructure;Grahame Grieve;STU - Test Period/Accepting Comments;14/06/2017;17/08/2017;Ballot - STU to Normative;2024 May WGM/Ballot;IG;"SMART on FHIR
SMART App Authorization
SMART App Launch";https://github.com/smart-on-fhir/smart-on-fhir.github.io;No;;13/06/2017 08:00
1345;1345;Validated Healthcare Directory IG;Patient Administration Work Group;Financial Management Work Group, Payer/Provider Info Exchange Work Group, Services Oriented Architecture Work Group;Administrative;Brian Postlethwaite and Bob Dieterle;STU - Reconcile;17/07/2017;26/07/2017;Ballot - STU to Normative;2022 Sept WGM/Ballot;Revise Current Standard;"FHIR Healthcare Directory Information Exchange; Healthcare Directory; HcDir ";http://wiki.hl7.org/index.php?title=FHIR_Validated_Healthcare_Directory;Yes;FHIR Profile;18/07/2017 08:00
981;981;Structured Docs WG 3-Year Plan Items;Structured Documents Work Group;;Infrastructure;Structured Docs Co-Chairs;3-Year Plan Item;;;- Other -;2024 Jan WGM/Ballot;;;;;;15/09/2017 08:00
1352;1352;Podiatry Profile of EHR-S Functional Model V 2.01;Electronic Health Records Work Group;Clinical Information Modeling Initiative Work Group, Orders and Observations Work Group, Payer/Provider Info Exchange Work Group;Administrative;Michael L. Brody, DPM;STU - Reconcile;11/09/2017;16/10/2017;Ballot - STU;2022 Jan WGM/Ballot;Supplement to a Current Standard;Podiatry Functional Profile of EHR-S Functional Model;http://wiki.hl7.org/index.php?title=EHR_Podiatry-Workgroup;Don't Know;Electronic Health Record;25/09/2017 08:00
1366;1366;FHIR Electronic Case Reporting (eCR);Public Health Work Group;Clinical Information Modeling Initiative Work Group, Clinical Decision Support Work Group, Clinical Quality Information Work Group;Clinical;John Loonsk, eCR Standards Executive Sponsor, CGI Federal and Consultant to APHL;STU - Test Period/Accepting Comments;25/10/2017;16/11/2017;Ballot - STU to Normative;2024 Jan WGM/Ballot;Revise Current Standard;Electronic Case Reporting (eCR), Electronic initial case report (eICR), Reportability Response, Public Health Case Reporting, Supplemental Data, Trigger Codes, Public Health Reporting, Reportable conditions, Public Health Decision Support, Nationally Notifiable conditions, Decision logic;"https://confluence.hl7.org/display/PHWG/Public+Health+Case+Reporting

http://wiki.hl7.org/index.php?title=PHER_Public_Health_Case_Report_R2
https://github.com/HL7/PH-Case";Yes;"FHIR IG; FHIR Profile";29/09/2017 08:00
1363;1363;Breast Cancer Modeling and FHIR Profile development;Clinical Interoperability Council Work Group;Clinical Information Modeling Initiative Work Group;Clinical;Richard Esmond, Mark Kramer, Frank Opelka;STU - Reconcile;09/03/2018;11/04/2018;Ballot - STU to Normative;2023 Sept WGM/Ballot;IG;"Cancer Interoperability Group
Cancer Diagnosis, Treatment and Research (Cancer-DTR) ";"https://confluence.hl7.org/display/CIC/Breast+Cancer+Modeling+and+FHIR+Profile+Development+Proposal

https://confluence.hl7.org/display/CIC/Breast+Radiology+Reporting+FHIR+IG+Proposal 

The project will adhere to TSC's guidelines.
The project will ask for a List-Srv and WIKI Page following the approval of the PSS.";Yes;"FHIR IG; FHIR Profile; Guidance (e.g. Companion Guide, Cookbook, etc); Logical Model";29/09/2017 08:00
1370;1370;Transplant, Transfusion, and Grafts on FHIR;Orders and Observations Work Group;Patient Care Work Group, Pharmacy Work Group;Administrative;Bob Milius;Active Project (Resources assigned to pjt);03/11/2017;13/11/2017;Ballot - STU to Normative;2023 May WGM/Ballot;Revise Current Standard;Transplant, Transfusion, Infusion, Grafting;FHIR repository;Yes;FHIR Profile;29/09/2017 08:00
1371;1371;HL7 CDA R2 IG: C-CDA R2.1 Supplemental Templates for Nutrition, Release 1 (US Realm);Structured Documents Work Group;Orders and Observations Work Group, Patient Care Work Group;Infrastructure;Lindsey Hoggle, Academy of Nutrition and Dietetics;STU - Test Period/Accepting Comments;01/11/2017;13/11/2017;Ballot - STU to Normative;2022 Jan WGM/Ballot;Supplement to a Current Standard;"Nutrition Care via C-CDA; Nutrition Transitions of Care IG, Nutrition C-CDA";http://wiki.hl7.org/index.php?title=C-CDA_R2.1_Supplemental_Templates_for_Nutrition,_Release_1_(US_Realm);Yes;V3 Documents-Clinical (e.g. CDA);29/09/2017 08:00
1372;1372;US FHIR Core Update to FHIR R4 (Jira PSS-1835);Cross-Group Projects Work Group;Structured Documents Work Group;Infrastructure;Brett Marquard and Eric Haas;STU - Reconcile;26/10/2017;17/09/2021;Ballot - STU to Normative;2022 May WGM/Ballot;Revise Current Standard;US Core, Argonaut ;"2020 August PSS Updates: https://jira.hl7.org/browse/PSS-1835

https://github.com/HL7/US-Core-R4 ";Yes;FHIR IG;04/10/2017 08:00
1376;1376;C-CDA R2.1 Supplemental Templates for Infectious Disease;Structured Documents Work Group;Orders and Observations Work Group, Pharmacy Work Group, Public Health Work Group;Infrastructure;Dan Pollock;STU - Request Publication;01/11/2017;13/11/2007;Ballot - STU to Normative;2025 Sept WGM/Ballot;Supplement to a Current Standard, IG;;http://wiki.hl7.org/index.php?title=SDWG_C-CDA_Infectious_Disease_Additions;Yes;V3 Documents-Clinical (e.g. CDA);19/10/2017 08:00
1377;1377;"Unified Terminology Governance Process (UTG); Working Prototype and Pilot (includes debugging, testing and Project Management) (ONC/Grant Project)";Board of Directors Work Group;;None;Ted Klein, Lloyd McKenzie, Russ Hamm, Riki Merrick, Carol Macumber;Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Sept WGM/Ballot;;;"https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page

On the HL7 Wiki Page titled: FHIR: Enhancing Implementation (ONC Grant Project) at: 
http://wiki.hl7.org/index.php?title=FHIR:_Enhancing_Implementation_(ONC_Grant_Project)

https://confluence.hl7.org/display/VOC/Unified+Terminology+Governance+Project+%28UTG%29+Page

https://confluence.hl7.org/display/VOC/UTG+Project+Management";;;25/10/2017 08:00
1380;1380;Reference Domain Analysis Model (RDAM);Clinical Interoperability Council Work Group;Clinical Information Modeling Initiative Work Group, Electronic Health Records Work Group, Modeling and Methodology Work Group, Structured Documents Work Group;Clinical;Steve Hufnagel & Nona Hall;Active Project (Resources assigned to pjt);;;Ballot - STU to Normative;2022 Sept WGM/Ballot;Create New Standard;Healthcare Reference Domain Analysis Model (RDAM);RDAM.HL7.Org;Yes;"Education Services; Guidance (e.g. Companion Guide, Cookbook, etc); Logical Model; - New/Modified HL7 Policy/Procedure/Process -";10/11/2017 08:00
1384;1384;C-CDA 2.1 Implementation-A-Thons (IATs) for 2018-22 (ONC/Grant Project);Board of Directors Work Group;;None;Lisa Nelson, Jean Duteau, Joginder Madra;Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);C-CDA IAT;"https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page

On the HL7 Wiki Page titled: FHIR: Enhancing Implementation (ONC Grant Project) at: 
http://wiki.hl7.org/index.php?title=FHIR:_Enhancing_Implementation_(ONC_Grant_Project)

https://confluence.hl7.org/display/VOC/Unified+Terminology+Governance+Project+%28UTG%29+Page
On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/VOC/UTG+Project+Management";;V3 Documents-Clinical (e.g. CDA);28/11/2017 08:00
1383;1383;Improved FHIR Ballot Process and Tooling (ONC/Grant Project);Board of Directors Work Group;;None;Lloyd McKenzie, Gavin Tong;Active Project (Resources assigned to pjt);;;Vendor Contract;2021 May WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page

On the HL7 Wiki Page titled: FHIR: Enhancing Implementation (ONC Grant Project) at: 
http://wiki.hl7.org/index.php?title=FHIR:_Enhancing_Implementation_(ONC_Grant_Project)";;;12/12/2017 00:00
1387;1387;FHIR Connectathon Administrator (ONC/Grant Project);Board of Directors Work Group;;None;Sandra Vance;Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page

On the HL7 Wiki Page titled: FHIR: Enhancing Implementation (ONC Grant Project) at: 
http://wiki.hl7.org/index.php?title=FHIR:_Enhancing_Implementation_(ONC_Grant_Project)";;"FHIR IG; FHIR Profile";18/12/2017 08:00
1390;1390;Structured Data Capture Update (SDC);FHIR Infrastructure Work Group;Biomedical Research and Regulation Work Group, Financial Management Work Group, Orders and Observations Work Group, Patient Care Work Group;Infrastructure;Lloyd McKenzie;STU - Reconcile;29/01/2018;05/03/2018;Ballot - STU to Normative;2025 Jan WGM/Ballot;Revise Current Standard;SDC, Questionnaire, Form, Case Report Form, CRF;https://github.com/HL7/sdc;Don't Know;FHIR IG;25/01/2018 08:00
1405;1405;Contextualized potential drug-drug interaction clinical decision support;Clinical Decision Support Work Group;Pharmacy Work Group;Clinical;Bryn Rhodes, Howard Strasberg, Guilherme Del Fiol, Richard Boyce;STU - Reconcile;29/07/2018;27/09/2018;Ballot - STU to Normative;2023 May WGM/Ballot;Create New Standard;Drug-drug interaction, PDDI CDS ;"Project page: http://wiki.hl7.org/index.php?title=PDDI_CDS 
Document repository: https://github.com/HL7/PDDI-CDS";Yes;FHIR Profile;07/02/2018 08:00
1392;1392;FHIRcast: Application Context Synchronization in FHIR (PSS in Confluence);Imaging Integration Work Group;International Mentoring Committee, Clinical Decision Support Work Group, FHIR Infrastructure Work Group, Infrastructure and Messaging Work Group, Security Work Group;Administrative;Isaac Vetter;STU - Test Period/Accepting Comments;04/02/2019;18/02/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;Revise Current Standard;Application Context synchronization;"https://confluence.hl7.org/display/ASD/FHIRcast%3A+Application+Context+Synchronization+in+FHIR

http://wiki.hl7.org/index.php?title=IIWG_Synchronization_Project
Additional locations TBD.
Note:
The FHIRcast specification is currently hosted at http://fhircast.org and issues tracked at https://github.com/fhircast. We have contacted HL7 management to discuss transition of the content or these domains to HL7 control, and commit to completing transition before Ballot.

https://confluence.hl7.org/display/ASD/FHIRcast%3A+Application+Context+Synchronization+in+FHIR";Don't Know;FHIR Profile;13/02/2018 08:00
1394;1394;Establish IGAMT as the HL7 V2 IG Publication Tool;V2 Management Group;Conformance Work Group, Education Work Group, PEST Work Group, Vocabulary Work Group;Organizational Support;Rob Snelick;Active Project (Resources assigned to pjt);;;- Other -;2020 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);IGAMT, IGAMT on V2;Confluence: http://52.42.5.44:8090/display/PUB/V2+Implementation+Guide+tooling;Don't Know;Creating/Using a tool not listed in the HL7 Tool Inventory;13/02/2018 08:00
1398;1398;HL7 CDA R2 IG: C-CDA R2.1 Supplemental Templates for Pregnancy Status, Release 1 - US Realm;Structured Documents Work Group;Orders and Observations Work Group, Public Health Work Group;Infrastructure;Laura Conn, Centers for Disease Control and Prevention;STU - Test Period/Accepting Comments;26/02/2018;11/04/2018;Ballot - STU to Normative;2025 Sept WGM/Ballot;Supplement to a Current Standard;"Pregnancy status IG; Pregnancy, Pregnancy IG; C-CDA templates";http://wiki.hl7.org/index.php?title= C-CDA_R2.1_Supplemental_Templates_for_Pregnancy,_Release_1_(US Realm);Yes;"FHIR IG; FHIR Profile; FHIR Resources";14/02/2018 08:00
1402;1402;HL7 CDA R2 Orthodontic Attachment IG, Release 1 - US Realm;Payer/Provider Info Exchange Work Group;;Administrative;Russell Ott;STU - Test Period/Accepting Comments;09/03/2018;11/04/2018;Ballot - STU to Normative;2022 Sept WGM/Ballot;Create New Standard, Revise Current Standard;Orthodontic Attachment;http://wiki.hl7.org/index.php?title=Orthodontic_Attachment_Implementation_Guide;Yes;V3 Documents-Clinical (e.g. CDA);19/02/2018 08:00
1401;1401;HL7 V 2.5.1 IG for Syndromic Surveillance as a Standard for Trial Use;Public Health Work Group;Emergency Care Work Group, Patient Administration Work Group;Clinical;Dave Trepanier, Project Coordinator;STU - Test Period/Accepting Comments;07/03/2018;11/04/2018;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;Messaging Guide For Syndromic Surveillance: Emergency Department, Urgent Care, Inpatient And Ambulatory Care Settings, Syndromic Guide, Syndromic Messaging Guide, Syndromic Surveillance Message Guide, Public Health Syndromic Surveillance ;"https://confluence.hl7.org/display/PHWG/Syndromic+Surveillance

http://www.hl7.org/Special/committees/pher/docs.cfm 
http://confluence.hl7.org:8090/display/PHWG/Syndromic+Surveillance+v+2.5.1 ";;V2 Messages-Administrative;19/02/2018 08:00
1407;1407;HL7 Health Service Reference Architecture (HL7-HSRA);Services Oriented Architecture Work Group;Architectural Review Work Group;Infrastructure;Stefano Lotti, Vincent McCauley;Active Project (Resources assigned to pjt);01/10/2018;30/09/2019;Ballot - STU;2023 Sept WGM/Ballot;Create New Standard;HL7-HSRA, Services, SOA, Reference Architecture;http://wiki.hl7.org/index.php?title=HL7-HSRA;;Logical Model;06/03/2018 08:00
1315;1315;Imaging Integration 3-Year Plan;Imaging Integration Work Group;No Selection;Administrative;Imaging Integration Work Group Co-Chairs;3-Year Plan Item;;;Ballot - STU to Normative;2024 Sept WGM/Ballot;;;;;;12/03/2018 08:00
1503;1503;BRIDG Model Update  (BRIDG Release 5.3/HL7 BRIDG r5)  (v20190115v2.doc);Biomedical Research and Regulation Work Group;Orders and Observations Work Group;Clinical;Ed Helton;Informative - Reconcile;03/02/2019;11/02/2019;Ballot - Informative;2020 Jan WGM/Ballot;Revise Current Standard;BRIDG, BRIDG Model, Biomedical Research Integrated Domain Group Model;"BRR Confluence page: https://confluence.hl7.org/display/BRR/BRIDG+R5.3+Update

BRIDG model home: https://bridgmodel.nci.nih.gov; 
BR&amp;R WG page: http://www.hl7.org/Special/committees/rcrim/index.cfm; 
BR&amp;R Wiki page: http://wiki.hl7.org/index.php?title=Biomedical_Research_and_Regulation_(BR%26R)";Don't Know;Domain Analysis Model (DAM);24/05/2018 08:00
1422;1422;FHIR Resources for Evidence-Based Medicine Knowledge Assets (EBMonFHIR);Clinical Decision Support Work Group;Biomedical Research and Regulation Work Group, Clinical Quality Information Work Group;Clinical;Brian Alper;Active Project (Resources assigned to pjt);04/06/2018;22/06/2018;Ballot - STU to Normative;2024 May WGM/Ballot;IG;EBMonFHIR;"Project page: http://wiki.hl7.org/index.php?title=EBMonFHIR 
Document repository: https://github.com/HL7/EBMonFHIR";Yes;"FHIR IG; FHIR Profile";30/05/2018 08:00
1420;1420;HL7 Cross Paradigm Model Transformation Service;Services Oriented Architecture Work Group;Clinical Information Modeling Initiative Work Group, Community-Based Care and Privacy (CBCP) Work Group, Implementable Technology Specifications Work Group, Orders and Observations Work Group, Public Health Work Group, Security Work Group;Infrastructure;Matt Lord, Ken Lord, Sean Muir;STU - Request Publication;06/11/2018;08/02/2019;Ballot - STU;2023 Jan WGM/Ballot;Create New Standard;Cross Paradigm Transformation Service;Supporting project documents, deliverables, ballot reconciliation work and other project information will be kept at the SOA Confluence page: https://confluence.hl7.org/display/SOA;Yes;V3 Services-Web Services (OMG);30/05/2018 08:00
1424;1424;Common Data Model Harmonization (CDMH) - FHIR IG;Biomedical Research and Regulation Work Group;Clinical Interoperability Council Work Group;Clinical;Nagesh Bashyam;STU - Reconcile;24/07/2018;27/09/2018;Ballot - STU to Normative;2020 Sept WGM/Ballot;Revise Current Standard, IG;"Common Data Model Harmonization (CDMH) - FHIR IG (IG); 
CDM - Common Data Model; 
OMOP - Observational Medical Outcomes Partnership";"https://github.com/HL7/daf-research ; 
HL7 BR&amp;R Wiki http://wiki.hl7.org/index.php?title=BRIDG#Website_and_Listserv";Yes;"FHIR IG; FHIR Profile";31/05/2018 08:00
1426;1426;Women’s Health Technology Coordinated Registry Network (CRN);Biomedical Research and Regulation Work Group;Clinical Interoperability Council Work Group, Orders and Observations Work Group;Clinical;Nagesh Bashyam / Martha Velezis / Rachael Roan/Richard Ballew;Informative - Reconcile;30/07/2018;27/09/2018;Ballot - STU to Normative;2020 Sept WGM/Ballot;IG;WHT (Woman’s Health Technology) CRN, Coordinated Registry Network ;"BR&amp;R Confluence: 
http://confluence.hl7.org/pages/viewpage.action?pageId=19136854";Don't Know;FHIR IG;31/05/2018 08:00
1425;1425;CDISC Lab Semantics in FHIR (PSS in Confluence);Biomedical Research and Regulation Work Group;Orders and Observations Work Group;Clinical;Julie Evans,Hugh Glover;STU - Test Period/Accepting Comments;03/08/2018;18/02/2019;Ballot - STU to Normative;2022 Sept WGM/Ballot;IG;CDISC Lab Model Project ;http://confluence.hl7.org/display/BRR/CDISC+Lab+Semantics+-+FHIR+Investigation+and+Implementation+Guide;Yes;FHIR IG;31/05/2018 08:00
1429;1429;FHIR IG for Data Exchange for Quality Measures (Da Vinci Pjt);Clinical Quality Information Work Group;Clinical Decision Support Work Group, Patient Care Work Group;Clinical;Bryn Rhodes, Gay Dolin, Robert Dieterle, Linda Michaelsen, Viet Nguyen;STU - Test Period/Accepting Comments;02/03/2020;16/03/2020;Ballot - STU to Normative;2023 May WGM/Ballot;IG;HEDIS Measure Reporting, MRP, FHIR IG, Medication Reconciliation, HEDIS, NCQA, Quality Measures, Gaps in Care;"https://confluence.hl7.org/display/DVP/Gaps+In+Care+Supporting+Materials

HL7-Managed Project Document Repository – HL7 organizational GitHub site
URL – https://github.com/HL7/davinci-deqm  ";Yes;FHIR IG;04/06/2018 08:00
1428;1428;FHIR IG for Coverage Requirements Discovery;Financial Management Work Group;;Administrative;Robert Dieterle, Lenel James;STU - Test Period/Accepting Comments;13/06/2018;16/07/2018;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;Coverage Requirements Discovery, CRD, Payer requirements;HL7 Da Vinci Project Confluence page(s);Yes;FHIR IG;04/06/2018 08:00
1431;1431;Electronic Long-Term Services and Supports (eLTSS) Service Plan;Community-Based Care and Privacy (CBCP) Work Group;;Clinical;Irina Connelly, Laura Burkhart;STU - Test Period/Accepting Comments;15/07/2018;15/08/2018;Ballot - Informative;2024 May WGM/Ballot;IG;"eLTSS – electronic Long-Term Services and Supports
HCBS – Home and Community Based Services";;;;02/07/2018 08:00
1433;1433;Patient Reported Outcomes (PRO);FHIR Infrastructure Work Group;Biomedical Research and Regulation Work Group, Orders and Observations Work Group, Patient Care Work Group;Infrastructure;FHIR-Infrastructure;STU - Reconcile;09/08/2018;27/09/2018;Ballot - STU to Normative;2022 May WGM/Ballot;IG;PRO IG, Patient Reported Outcomes IG ;"ONC Tech Lab Page URL 
https://www.healthit.gov/techlab/standards_coordination.html";;"FHIR IG; FHIR Profile";09/07/2018 08:00
1435;1435;Harmonization of expression languages;Clinical Decision Support Work Group;;Clinical;CDS WG Co-Chairs;3-Year Plan Item;;;- Other -;2021 Sept WGM/Ballot;;;;;;02/08/2018 08:00
1437;1437;Collaborative CDA Template Review Process Pilot;CDA Management Group;Financial Management Work Group, Patient Care Work Group, Pharmacy Work Group, Structured Documents Work Group;None;Lisa Nelson, Brett Marquard;Active Project (Resources assigned to pjt);;27/09/2018;Investigative Project (PSS-Lite);2019 Jan WGM/Ballot;;Collaborative C-CDA Template Review;A confluence page has been created to track progress for this pilot project. PC has created a page for the Clinical Status value set review/request. That space is referenced by the confluence page for the overall pilot. A wiki page has also been created on the SDWG wiki that points to the confluence page.;;White Paper;24/08/2018 08:00
1452;1452;HL7 CMHAFF Normative Ballot (PSS in confluence);Mobile Health Work Group;Electronic Health Records Work Group;Infrastructure;Nathan Botts, Frank Ploeg;STU - Test Period/Accepting Comments;23/10/2018;29/10/2018;Ballot - STU to Normative;2022 Sept WGM/Ballot;Create New Standard, Supplement to a Current Standard;" - cMHAFF
 - Mobile Health Framework
 - Consumer Mobile Health Functional Framework ";"Updates and documentation to be found on the cMHAFF Project project page in confluence:
http://confluence.hl7.org/display/MH/cMHAFF+Project?src=contextnavpagetreemode";;- New Product Definition -;20/09/2018 08:00
1453;1453;IHE Digital Pathology Workflow Metadata Requirements (e.g. DICOM) to Specimen DAM mapping and HL7 product family use;Orders and Observations Work Group;Clinical Information Modeling Initiative Work Group, Clinical Genomics Work Group, Imaging Integration Work Group;Administrative;Riki Merrick, JD Nolen;Active Project (Resources assigned to pjt);13/09/2018;16/11/2018;Ballot - Informative;2023 Jan WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;Digital Pathology;"Specimen DAM will need to be published - Project insight ID: 1292 current almost pre-publication version (need to update the EA fle and image): http://www.hl7.org/documentcenter/public/wg/orders/V3_DAM_Specimen_R2_INFORM_2018JUN.docx
Also this is an IHE PaLM project - more information and the profile to be developed will be on this wiki page: https://wiki.ihe.net/index.php/APW_Image_Acquisition";Don't Know;Domain Analysis Model (DAM);20/09/2018 08:00
1475;1475;Vital Records Mortality and Morbidity Reporting FHIR IG;Public Health Work Group;;Clinical;Paula Braun, Hetty Khan;STU - Expired Test Period;12/11/2018;26/11/2018;Ballot - STU to Normative;2022 Jan WGM/Ballot;IG; VRDR, FHIR, NCHS, EDRS, NVSS;https://confluence.hl7.org/display/PHWG/Vital+Records;Yes;;16/10/2018 08:00
1477;1477;Vital Records Death Reporting V2.6;Public Health Work Group;;Clinical;Hetty Khan, Alaina Elliott;STU - Reconcile;12/11/2018;26/11/2018;Ballot - STU to Normative;2021 Sept WGM/Ballot;Revise Current Standard;VRDR, V2.6 VRDR, Death Reporting, Vital Records Death Reporting;http://www.hl7.org/Special/committees/pher/index.cfm;Yes;V2 Messages-Administrative;17/10/2018 08:00
1481;1481;v2-To-FHIR (PSS in Confluence);Orders and Observations Work Group;Clinical Genomics Work Group, Conformance Work Group, Devices Work Group, FHIR Management Group, Financial Management Work Group, Modeling and Methodology Work Group, Patient Administration Work Group, Patient Care Work Group, Pharmacy Work Group, Public Health Work Group, Services Oriented Architecture Work Group;Administrative;Hans Buitendijk;STU - Preparing Ballot;01/10/2018;28/01/2019;Ballot - STU to Normative;2023 Sept WGM/Ballot;Supplement to a Current Standard;2-to-FHIR;https://confluence.hl7.org/display/OO/2-To-FHIR+Project;;"FHIR Profile; FHIR Resources; V2 Messages-Administrative; V2 Messages-Clinical; V2 Messages-Departmental";26/10/2018 08:00
1436;1436;Health Services Platform Marketplace;Services Oriented Architecture Work Group;Implementable Technology Specifications Work Group;Infrastructure;Preston Lee, Vincent McCauley;STU - Test Period/Accepting Comments;01/10/2018;26/11/2018;Ballot - STU;2021 Sept WGM/Ballot;Create New Standard;Health Services Platform Marketplace HSP Marketplace, HSPM, Service Store, Service Exchange, Service Registry, App Store;Supporting project documents, deliverables, ballot reconciliation work and other project information will be kept at the SOA confluence page: https://confluence.hl7.org/display/SOA/Services+Oriented+Architecture;No;V3 Services-Web Services (OMG);30/10/2018 08:00
1496;1496;FHIR DME Orders (PSS in Confluence);Orders and Observations Work Group;;Administrative;Robert Dieterle;STU - Reconcile;28/02/2019;02/12/2019;Ballot - STU to Normative;2023 May WGM/Ballot;IG;FHIR DME Orders, DME eRx;https://confluence.hl7.org/display/OO/PSS+for+FHIR+DME+Orders;Yes;"FHIR IG; FHIR Profile";03/01/2019 08:00
1488;1488;Targeted industry survey regarding US coverage requirements discovery for Durable Medical Equipment. (PSS in Confluence);Financial Management Work Group;;Administrative;Mary Kay McDaniel;Active Project (Resources assigned to pjt);18/12/2018;28/01/2019;Investigative Project (PSS-Lite);2019 May WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"https://confluence.hl7.org/display/FM/PSS+for+HL7+FM+Survey%2C+last+updated+2018+12+11?src=contextnavpagetreemode
and the documents page: Documentation";;- Non Product Project -;08/01/2019 08:00
